id_aula_bubble;usuarios;;;;;;
1645565827741x807915417606553600;1646506366757x714669705568882000,1620726844573x269089511257849540,1646662862016x123828431108585330,1661740019427x135344427889350980,1649464038228x722383135974790800;;;;;;
1645750301410x690623100354560000;1646506366757x714669705568882000,1646662862016x123828431108585330,1620726844573x269089511257849540;;;;;;
1645751843567x419338921772843000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1645976491114x200278965097070600;;;;;;;
1645977141216x109524125682761730;;;;;;;
1645977307418x300602161190666240;;;;;;;
1645977362627x493130260964966400;;;;;;;
1645977415776x562103766116204540;;;;;;;
1645977447261x972126621113253900;;;;;;;
1645977479264x103763361054326780;;;;;;;
1645977506216x521054340484694000;;;;;;;
1645977535564x531820736132677600;;;;;;;
1645977581759x196997702292340740;;;;;;;
1645977630348x385545526662135800;;;;;;;
1645977666112x152050012498165760;1620726844573x269089511257849540;;;;;;
1645977695895x796249827307159600;;;;;;;
1645977727003x322370113604943900;;;;;;;
1645978010685x828729246710759400;;;;;;;
1645978042976x339230509864058900;;;;;;;
1645979005695x936628541574348800;;;;;;;
1645979041205x677867843227222000;;;;;;;
1645979081945x408168781356990460;;;;;;;
1645979200661x417321131640356860;;;;;;;
1646003812210x385708486946717700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004284788x845294159211003900;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004355098x219801468685516800;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004396147x448707771650539500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004456177x700384830257889300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646004902955x136474115917742080;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005075908x990122895126036500;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005106048x591348833083195400;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005141639x204635526019416060;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005166258x520166254719795200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005195800x845096773387550700;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005302388x618148799310725100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005942185x630211848381661200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646005976876x352232836660461600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006007195x296389976722243600;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006044787x266348592104734720;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006069820x462873850123911200;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006097976x224115691278565380;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006128534x860706803783565300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006154803x870832446006362100;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006190883x578150955109843000;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
1646006300749x703272127473123300;1620726844573x269089511257849540,1646662862016x123828431108585330;;;;;;
